"lnr" "Klasse" "Gesch" "Alter" "Groesse" "Gewicht" "Mathe" "Physik" "Deutsch" "Bio" "Fehltage"
289 12 "w" 18 155 71 5 5 2 2 4
290 8 "w" 14 138 50 4 4 4 2 5
291 9 "m" 16 168 67 4 5 1 2 1
292 10 "w" 17 155 66 2 3 2 2 0
293 8 "w" 15 145 54 2 2 2 2 6
294 7 "w" 13 130 46 5 NA 2 3 1
295 10 "w" 17 168 63 3 3 2 1 4
296 7 "w" 14 155 50 2 NA 3 2 1
297 7 "m" 13 145 51 4 NA 2 2 3
298 11 "w" 17 151 66 3 3 3 2 4
299 6 "m" 13 135 47 2 NA 3 2 2
300 9 "w" 16 150 58 6 6 2 3 3
301 10 "w" 17 163 65 4 4 2 2 4
302 11 "w" 18 190 72 2 3 1 2 3
303 8 "m" 16 156 67 2 2 6 2 4
304 11 "w" 17 154 64 4 5 5 2 1
305 6 "m" 13 144 49 4 NA 2 2 5
306 9 "m" 17 176 71 3 2 5 4 5
307 11 "w" 18 195 70 1 2 5 1 3
308 9 "m" 15 167 59 2 4 2 2 2
309 8 "w" 14 131 50 2 2 2 2 4
310 5 "m" 12 153 44 5 NA 5 5 3
311 10 "w" 17 143 65 3 6 2 2 7
312 6 "m" 14 153 54 3 NA 3 3 2
313 10 "m" 17 168 73 5 5 5 5 4
314 10 "m" 18 183 75 3 3 4 5 5
315 5 "w" 12 136 40 4 NA 2 3 2
316 7 "m" 13 133 50 3 NA 2 2 1
317 6 "w" 13 154 45 6 NA 4 4 3
318 6 "m" 12 144 45 4 NA 3 2 1
319 6 "w" 13 142 45 2 NA 4 3 1
320 8 "w" 15 147 56 2 3 3 2 3
321 10 "w" 17 167 64 3 5 5 3 6
322 9 "w" 16 170 61 4 4 4 3 3
323 9 "w" 16 159 61 2 3 3 2 2
324 9 "m" 16 177 66 3 5 2 2 7
325 6 "w" 12 138 40 2 NA 1 2 3
326 7 "m" 13 153 49 2 NA 2 2 3
327 9 "w" 16 161 60 5 4 2 4 2
328 7 "w" 13 144 45 5 NA 3 3 4
329 7 "m" 16 152 64 4 NA 3 1 6
330 5 "m" 13 157 51 3 NA 5 3 5
331 6 "m" 13 148 49 2 NA 2 2 7
332 9 "w" 15 146 54 2 4 5 3 3
333 7 "m" 13 160 50 2 NA 4 2 2
334 6 "w" 13 154 45 5 NA 5 5 2
335 8 "m" 15 154 60 2 1 6 2 3
336 9 "w" 15 143 55 4 5 3 3 2
337 9 "w" 17 187 65 1 1 3 1 0
338 10 "w" 17 158 65 2 3 3 2 2
339 7 "m" 13 155 51 2 NA 5 3 2
340 7 "m" 14 150 55 1 NA 2 2 3
341 6 "m" 12 126 43 1 NA 5 2 3
342 11 "m" 17 182 70 5 6 5 6 2
343 7 "m" 13 129 48 2 NA 2 2 1
344 7 "m" 14 134 54 3 NA 3 1 3
345 7 "m" 13 164 52 3 NA 2 2 4
346 7 "m" 13 163 49 5 NA 4 3 6
347 7 "m" 13 143 50 2 NA 3 2 1
348 11 "w" 17 144 66 5 4 2 1 1
349 8 "m" 15 176 60 2 2 2 1 1
350 6 "w" 13 154 46 2 NA 2 2 5
351 7 "m" 14 159 56 3 NA 4 2 1
352 10 "w" 16 160 60 3 1 5 4 1
353 10 "w" 17 173 66 2 2 4 3 2
354 10 "m" 18 160 74 4 4 2 1 3
355 9 "w" 16 164 61 5 3 3 4 5
356 11 "w" 17 174 63 3 2 2 1 5
357 7 "w" 14 152 50 1 NA 2 2 3
358 8 "w" 16 166 60 5 6 2 4 1
359 9 "m" 16 168 66 5 5 5 4 3
360 9 "w" 16 143 58 5 5 2 3 4
361 6 "w" 13 148 44 3 NA 2 1 5
362 9 "m" 15 160 59 5 5 5 4 2
363 6 "w" 13 145 44 3 NA 3 2 5
364 11 "w" 17 164 66 2 2 2 2 4
365 9 "m" 16 180 66 3 3 4 3 5
366 7 "w" 13 152 44 4 NA 4 3 4
367 12 "w" 18 156 71 3 2 4 3 2
368 5 "m" 13 154 51 2 NA 4 2 2
369 8 "m" 15 165 60 2 3 2 1 5
370 5 "w" 12 129 41 4 NA 4 4 3
371 8 "m" 15 163 61 4 3 5 4 3
372 5 "m" 12 140 44 3 NA 5 1 5
373 9 "w" 16 166 60 4 5 4 2 6
374 6 "w" 14 162 50 4 NA 4 3 5
375 7 "m" 13 149 52 1 NA 3 2 4
376 9 "w" 15 157 55 3 2 5 4 4
377 8 "m" 15 169 60 2 1 4 1 1
378 10 "m" 16 152 64 3 3 2 3 5
379 11 "m" 17 171 69 5 3 3 4 2
380 11 "w" 18 173 70 3 4 2 2 5
381 6 "w" 13 151 45 2 NA 1 2 4
382 5 "w" 13 141 45 1 NA 3 1 6
383 9 "m" 17 151 70 4 4 3 2 4
384 5 "w" 12 149 40 3 NA 2 2 2
385 10 "m" 16 169 65 4 5 2 1 0
386 8 "m" 15 142 60 3 4 4 3 6
387 8 "m" 14 159 56 4 3 3 4 1
388 6 "m" 13 146 50 2 NA 2 1 2
389 10 "w" 16 164 61 3 3 5 2 6
390 6 "m" 12 123 46 2 NA 5 2 3
391 10 "m" 17 176 70 2 3 5 3 3
392 8 "m" 14 176 54 2 2 4 3 3
393 10 "m" 17 181 69 3 3 5 4 5
394 10 "w" 16 151 60 2 3 4 2 4
395 12 "w" 18 182 69 2 2 2 2 3
396 6 "w" 12 132 41 5 NA 2 1 3
397 8 "m" 15 154 60 6 3 2 3 1
398 7 "w" 14 139 50 2 NA 4 2 1
399 6 "m" 13 153 50 3 NA 4 4 3
400 6 "m" 15 150 59 4 NA 4 3 2
401 8 "m" 14 160 54 3 5 2 1 4
402 12 "m" 18 181 76 3 1 5 3 5
403 11 "m" 17 172 72 2 2 5 1 3
404 10 "w" 17 175 65 2 3 4 3 5
405 6 "w" 14 156 48 4 NA 3 4 4
406 7 "w" 13 147 44 4 NA 4 2 4
407 7 "m" 14 162 56 4 NA 1 2 3
408 6 "w" 14 144 48 3 NA 2 2 6
409 6 "w" 14 150 51 2 NA 4 1 3
410 10 "m" 16 176 65 2 3 5 1 5
411 10 "m" 17 184 70 4 5 3 4 4
412 6 "w" 13 147 44 3 NA 3 2 1
413 10 "m" 16 177 64 4 1 2 2 3
414 12 "w" 18 174 69 2 2 5 3 1
415 8 "w" 15 164 56 1 1 2 2 1
416 12 "m" 18 173 75 5 5 4 4 3
417 11 "m" 18 164 74 2 1 4 2 4
418 8 "m" 14 163 55 2 3 4 3 0
419 8 "w" 15 156 56 2 2 3 2 4
420 10 "m" 17 152 71 2 2 2 2 1
421 9 "w" 16 152 62 1 2 2 2 3
422 8 "m" 14 156 54 2 1 5 2 1
423 11 "w" 17 156 65 2 4 3 3 6
424 10 "w" 16 179 62 2 4 2 2 3
425 5 "m" 12 142 46 3 NA 2 2 3
426 8 "m" 15 155 61 1 1 2 1 1
427 6 "w" 14 143 50 3 NA 5 3 3
428 11 "w" 17 170 65 2 2 5 2 4
429 10 "m" 17 187 72 2 3 2 3 5
430 8 "m" 14 154 54 2 2 1 2 5
431 7 "w" 14 149 51 2 NA 2 2 0
432 7 "w" 14 134 51 2 NA 4 2 3
433 8 "w" 14 162 51 2 3 2 2 4
434 10 "w" 17 175 65 2 2 3 2 4
435 9 "w" 16 185 61 2 2 3 2 8
436 10 "m" 17 160 69 2 2 2 2 2
437 8 "w" 15 175 55 5 3 4 5 2
438 6 "m" 13 149 50 2 NA 3 2 1
439 9 "m" 16 158 66 2 1 2 1 2
440 11 "m" 17 164 70 3 4 6 3 4
441 5 "w" 13 121 43 4 NA 2 2 4
442 10 "w" 17 164 65 5 4 5 3 1
443 11 "w" 18 155 68 3 3 2 1 4
444 10 "w" 16 161 59 3 3 3 3 3
445 9 "w" 16 158 60 2 2 2 3 8
446 5 "w" 12 149 40 5 NA 2 1 0
447 5 "m" 13 133 50 5 NA 3 3 3
448 7 "w" 14 151 49 3 NA 5 4 3
449 7 "w" 14 129 51 4 NA 1 2 0
450 8 "m" 15 148 59 3 1 3 2 2
451 9 "m" 15 173 61 1 2 2 1 2
452 7 "m" 15 165 61 2 NA 5 3 5
453 7 "m" 14 156 57 5 NA 4 4 4
454 6 "w" 13 152 46 2 NA 3 1 4
455 11 "m" 18 178 76 5 5 2 1 3
456 9 "w" 15 162 56 2 2 3 2 0
457 7 "m" 13 154 49 5 NA 4 5 3
458 11 "m" 18 161 75 2 2 3 2 3
459 11 "m" 18 164 73 2 1 2 3 4
460 5 "w" 12 152 40 5 NA 4 3 3
461 7 "m" 14 168 55 2 NA 2 1 2
462 5 "m" 13 149 52 5 NA 2 1 0
463 7 "w" 15 155 56 2 NA 3 2 5
464 5 "m" 14 153 56 3 NA 4 3 5
465 6 "m" 13 135 47 4 NA 2 1 5
466 5 "w" 12 141 40 4 NA 5 4 4
467 7 "m" 14 156 56 2 NA 2 2 5
468 9 "m" 16 155 64 3 3 2 2 2
469 9 "w" 15 184 56 2 1 2 2 1
470 11 "w" 18 182 71 3 2 2 2 3
471 11 "w" 17 173 65 3 1 2 2 3
472 8 "w" 14 149 50 3 4 4 2 3
473 7 "w" 13 156 48 5 NA 3 4 4
474 7 "m" 14 137 55 5 NA 5 5 1
475 8 "m" 14 168 57 2 3 5 4 4
476 6 "w" 14 148 49 3 NA 5 2 0
477 9 "w" 15 141 55 2 1 2 2 6
478 6 "w" 12 150 40 4 NA 5 2 2
479 7 "w" 14 159 48 3 NA 3 2 3
480 9 "w" 15 161 54 3 3 3 4 5
481 9 "w" 17 166 65 5 5 2 4 4
482 12 "m" 18 177 75 4 4 5 4 1
483 5 "m" 12 154 43 2 NA 1 1 3
484 5 "m" 13 134 49 5 NA 2 3 5
485 7 "w" 14 166 52 4 NA 2 3 3
486 7 "w" 14 138 50 2 NA 3 2 3
487 5 "w" 12 155 40 4 NA 3 2 2
488 5 "m" 12 132 44 5 NA 5 5 1
489 7 "w" 14 147 50 4 NA 1 2 1
490 10 "w" 16 168 61 5 4 5 3 4
491 7 "w" 14 162 53 2 NA 2 2 2
492 9 "w" 16 169 60 2 3 1 2 2
493 5 "w" 12 134 41 2 NA 3 2 5
494 10 "w" 16 154 59 2 2 4 1 8
495 11 "m" 18 169 75 4 5 5 3 4
496 11 "m" 18 158 73 5 6 5 5 7
497 6 "m" 12 155 45 3 NA 2 2 2
498 10 "w" 17 162 65 2 3 3 2 3
499 7 "m" 14 168 55 2 NA 1 1 3
500 8 "w" 15 159 52 2 2 4 3 2
501 9 "m" 16 162 65 5 5 3 3 5
502 6 "w" 13 155 44 3 NA 2 2 6
503 8 "w" 15 154 55 2 1 2 2 1
504 10 "w" 16 178 60 3 3 4 3 2
505 6 "w" 13 136 45 3 NA 2 2 2
506 10 "w" 17 183 67 2 3 5 2 2
507 8 "w" 14 157 51 3 4 5 3 4
508 11 "w" 17 171 66 3 2 2 1 2
509 8 "w" 15 144 56 4 4 4 5 1
510 11 "w" 18 179 70 5 5 3 2 5
511 7 "w" 15 161 55 4 NA 5 3 2
512 10 "w" 16 171 60 3 2 3 1 3
513 9 "w" 15 159 54 2 2 2 1 3
514 6 "m" 12 152 44 5 NA 5 3 6
515 9 "w" 16 151 61 2 3 1 1 2
516 9 "w" 17 170 64 1 2 3 2 2
517 7 "w" 14 150 50 6 NA 2 3 2
518 9 "m" 15 153 60 1 2 2 2 3
519 10 "w" 16 160 59 3 4 2 2 4
520 9 "m" 15 166 61 3 4 4 3 4
521 9 "w" 15 178 55 4 3 3 4 1
522 6 "m" 12 128 45 4 NA 2 1 5
523 12 "m" 18 178 76 2 2 2 2 3
524 7 "m" 15 157 60 4 NA 5 4 1
525 8 "m" 15 151 61 2 2 3 1 3
526 9 "w" 16 174 60 3 2 1 2 2
527 6 "w" 13 145 44 3 NA 3 2 0
528 7 "m" 14 163 53 3 NA 5 2 5
529 6 "m" 12 137 44 2 NA 4 2 1
530 8 "w" 15 170 58 4 5 2 1 2
531 9 "w" 16 147 60 5 5 5 3 2
532 10 "m" 17 165 69 4 4 4 3 2
533 8 "m" 16 167 64 5 5 5 3 3
534 8 "m" 15 153 60 2 2 4 1 2
535 9 "m" 16 165 65 2 4 2 1 1
536 10 "w" 16 148 58 4 2 4 2 4
537 10 "w" 16 150 60 2 2 2 2 4
538 7 "w" 15 164 55 2 NA 3 1 2
539 10 "w" 16 150 58 6 6 2 1 3
540 12 "m" 18 181 74 2 1 2 1 5
541 7 "m" 13 139 50 4 NA 5 5 3
542 5 "w" 12 137 38 5 NA 2 2 1
543 7 "w" 14 133 49 4 NA 4 4 2
544 8 "m" 14 158 55 3 3 2 1 4
545 6 "w" 12 140 40 2 NA 2 2 3
546 7 "m" 14 164 56 3 NA 2 1 2
547 8 "m" 15 159 62 2 3 3 1 1
548 10 "m" 16 153 65 3 4 2 2 6
549 8 "w" 15 151 55 3 3 5 3 5
550 8 "m" 15 155 60 3 4 4 4 3
551 9 "m" 16 150 66 2 2 6 4 3
552 7 "w" 14 149 51 3 NA 3 1 2
553 6 "m" 12 144 44 2 NA 5 5 8
554 5 "m" 14 152 54 2 NA 4 2 3
555 10 "m" 17 163 71 2 1 2 1 2
556 7 "m" 13 163 49 3 NA 5 3 1
557 9 "w" 15 160 53 5 5 2 2 5
558 9 "w" 15 144 56 2 3 4 2 5
559 8 "m" 16 161 66 3 3 4 3 1
560 8 "w" 16 150 60 4 3 3 3 4
561 9 "m" 16 159 66 5 5 4 5 3
562 6 "w" 13 123 46 3 NA 2 2 1
563 10 "m" 16 164 63 2 2 1 2 3
564 5 "w" 12 143 41 2 NA 2 3 5
565 7 "w" 14 139 50 2 NA 3 1 3
566 7 "w" 13 144 45 4 NA 5 3 2
567 8 "m" 15 159 60 2 1 4 3 0
568 7 "w" 13 160 47 4 NA 2 1 2
